week,alpha_pct,gamma_pct,delta_pct,omicron_pct,other_pct,total_pct
2020-04-27,0,0,0,0,1,0.961
2020-05-11,0,0,0,0,1,0.9317
2020-05-25,0,0,0,0,1,0.9733
2020-06-08,0,0,0,0,1,0.9072
2020-06-22,0,0,0,0,1,0.9167
2020-07-06,0,0,0,0,1,0.9726
2020-07-20,0,0,0,0,1,0.9787
2020-08-03,0,0,0,0,1,0.9524
2020-08-17,0,0,0,0,1,0.9863999999999999
2020-08-31,0,0,0,0,1,0.9669
2020-09-14,0,0,0,0,1,0.9477
2020-09-28,0,0,0,0,1,0.9318
2020-10-12,4.3263074100993315e-5,0,0,0,0.9999567369258989,0.9631000000000001
2020-10-26,0.0014025507399979362,0,0,0,0.998597449260002,0.9941000000000001
2020-11-09,1.5581551690192403e-4,0,3.863009112409273e-4,0,0.9994578835718572,0.9914
2020-11-23,7.283743326329944e-4,0,0,0,0.999271625667367,0.9914
2020-12-07,0.0025252161662070627,0,0,0,0.997474783833793,0.9992
2020-12-21,0.018754288369965226,1.884680497490097e-5,2.6159243687950534e-4,0,0.9809652723881804,1.0003
2021-01-11,0.03776069112468434,4.4726166137369557e-4,1.3088234287740358e-4,0,0.9616611648710646,1.0003
2021-01-25,0.07114107433672325,1.1648940603222125e-4,1.0881089414672196e-5,0,0.9287315551678299,1.0003
2021-02-08,0.09968037569992796,6.479700436331343e-4,4.509925217923345e-5,0,0.8996265550042597,1.0003
2021-02-22,0.2287266938749287,0.003942369455931137,3.8009796505910505e-5,0,0.7672929268726343,1.0003
2021-03-08,0.38266091437700167,0.010149726391732056,1.4469786583965326e-4,0,0.6070446613654267,1.0003
2021-03-22,0.5307687543005255,0.030090884987123697,7.205094211405738e-4,0,0.43841985129121,1.0003000000000002
2021-04-05,0.6352221641343442,0.05268784599612399,0.004011988950092406,0,0.3080780009194394,1.0003
2021-04-19,0.6829054047944483,0.07042208008252977,0.014546993342107233,0,0.23212552178091472,1.0003
2021-05-03,0.689127129667206,0.08755159692019993,0.024793764175195382,0,0.19852750923739865,1.0003
2021-05-17,0.6546000206070678,0.10575181332061113,0.05965622778590095,0,0.1799919382864202,1.0003
2021-05-31,0.5248277823323726,0.1134078727837293,0.2000439554164437,0,0.16172038946745432,1.0003000000000002
2021-06-14,0.3319155053096419,0.08247768489562823,0.4606706051487068,0,0.1249362046460231,1.0003
2021-06-28,0.11171353162483659,0.03869972149882583,0.78432703777659,0,0.06525970909974767,1.0003
2021-07-12,0.02760137309187325,0.014174532327809946,0.930340331151027,0,0.027883763429289887,1.0003
2021-07-26,0.007198716065158557,0.00516014219872389,0.9769935060179434,0,0.010647635718174007,1.0003000000000002
2021-08-09,0.002123102313634418,0.0016510506023679115,0.9908350431937485,0,0.005390803890249194,1.0003
2021-08-23,5.832333598290736e-4,6.974277956990858e-4,0.9946313429124743,0,0.004087995931997506,1.0003
2021-09-06,4.796323871265347e-4,3.440980041491606e-4,0.995645183886735,0,0.003531085721989393,1.0003
2021-09-20,3.6800359851859506e-5,1.7793463662300093e-4,0.9971428640522088,0,0.002642400951316424,1.0003
2021-10-04,8.88519326343142e-5,1.522919419042518e-4,0.9972496664322922,0,0.002509189693169239,1.0003
2021-10-18,6.448450712127768e-5,1.0276491197182212e-4,0.9959693325251948,1.5347621677549924e-5,0.003848070434034665,1.0003
2021-11-01,4.6142458325001533e-5,1.1362392285552636e-6,0.9934255441458482,1.1244790626312987e-5,0.006515932365972005,1.0003
2021-11-15,2.2806846159080035e-6,0,0.9937659628194256,5.619785665456964e-4,0.005669777929412758,1.0003
2021-11-29,0,0,0.9332958140419024,0.06604127529600386,6.629106620937362e-4,1.0003
2021-12-13,6.471099856662364e-6,0,0.40861781550835025,0.5898722844936537,0.001503428898139396,1.0003
2021-12-27,0,0,0.07118474094137571,0.9272847725574381,0.001530486501186226,1.0003
2022-01-10,0,0,0.012914905906381174,0.9867912893539211,2.938047396977372e-4,1.0003
2022-01-24,0,0,0.003243457261266755,0.9967098161605417,4.672657819168167e-5,1.0003
2022-02-07,0,0,9.601388964834624e-4,0.9989485858827176,9.1275220798947e-5,1.0003
2022-02-21,0,0,6.792926968613163e-4,0.9981254983689734,0.0011952089341653344,1.0003
2022-03-07,0,0,9.686375125245704e-4,0.9978964069712252,0.0011349555162502086,0.9985
2022-03-21,0,0,0,1,0,0.0053
