State,code,recruits,recruit_pct,civil_18_24,civil_pct
Maine,ME,516,0.32,105080,0.36
New Hampshire,NH,638,0.39,116879,0.4
Vermont,VT,175,0.11,51909,0.18
Massachusetts,MA,2025,1.25,638145,2.19
Rhode Island,RI,292,0.18,89137,0.31
Connecticut,CT,1368,0.85,279621,0.96
  New York,NY,6394,3.95,1779918,6.12
      New Jersey,NJ,2910,1.8,830901,2.85
      Pennsylvania,PA,4997,3.09,1068781,3.67
      Ohio,OH,5858,3.62,1052475,3.62
      Indiana,IN,3254,2.01,634438,2.18
      Illinois,IL,5344,3.3,1163189,4
      Michigan,MI,3806,2.35,885947,3.04
      Wisconsin,WI,2218,1.37,489181,1.68
      Minnesota,MN,1486,0.92,439419,1.51
      Iowa,IA,1026,0.63,301227,1.03
      Missouri,MO,2983,1.84,480213,1.65
      North Dakota,ND,169,0.1,67702,0.23
      South Dakota,SD,293,0.18,85691,0.29
      Nebraska,NE,854,0.53,182096,0.63
      Kansas,KS,1290,0.8,268106,0.92
      Delaware,DE,398,0.25,87655,0.3
      Maryland,MD,2818,1.74,525683,1.81
      District of Columbia,DC,93,0.06,64504,0.22
      Virginia,VA,5125,3.17,693515,2.38
      West Virginia,WV,818,0.51,152112,0.52
      North Carolina,NC,6516,4.03,947976,3.26
      South Carolina,SC,3428,2.12,400674,1.38
      Georgia,GA,7342,4.54,944185,3.24
      Florida,FL,13547,8.37,1731840,5.95
      Kentucky,KY,1972,1.22,393502,1.35
      Tennessee,TN,3531,2.18,596188,2.05
      Alabama,AL,3329,2.06,443750,1.52
      Mississippi,MS,1427,0.88,258935,0.89
      Arkansas,AR,1447,0.89,288230,0.99
      Louisiana,LA,2290,1.41,393484,1.35
      Oklahoma,OK,2248,1.39,328061,1.13
      Texas,TX,18670,11.54,2778275,9.55
      Montana,MT,522,0.32,88235,0.3
      Idaho,ID,954,0.59,153712,0.53
      Wyoming,WY,300,0.19,50972,0.18
      Colorado,CO,2896,1.79,506161,1.74
      New Mexico,NM,1158,0.72,190016,0.65
      Arizona,AZ,4270,2.64,694782,2.39
      Utah,UT,1131,0.7,351371,1.21
      Nevada,NV,1727,1.07,255002,0.88
      Washington,WA,3341,2.06,649312,2.23
      Oregon,OR,1794,1.11,315649,1.08
      California,CA,19504,12.05,3632837,12.48
      Alaska,AK,516,0.32,69274,0.24
      Hawaii,HI,846,0.52,108777,0.37
